forecast_date,station,city,forecast_high_f,fetched_utc,members
2026-08-25,KNYC,New York City,77.8,2026-08-25T19:56:18+00:00,81.5|81.0|79.6|82.6|79.4|82.9|80.5|84.8|80.3|77.8|84.8|82.0|83.8|77.6|82.9|79.9|77.8|82.6|77.8|83.4|78.7|77.3|79.2|83.6|80.6|83.4|80.6|83.3|79.6|82.0|81.0|77.3|78.9|77.5|78.0|76.4|75.9|76.4|77.5|78.5|76.6|79.4|76.8|78.0|78.2|74.7|75.2|74.3|78.7|75.9|76.9|77.6|75.9|77.8|81.0|75.5|77.5|77.6|76.6|77.8|74.3|78.2|77.5|76.9|75.0|77.5|78.3|76.6|77.8|75.0|74.7|77.3|77.3|78.5|76.1|78.3|76.4|77.8|78.5|76.8|75.2|76.6
2026-08-25,KMIA,Miami,90.9,2026-08-25T19:56:18+00:00,92.9|91.9|91.5|93.3|92.3|91.5|92.9|93.7|92.7|92.5|93.7|91.1|93.7|92.1|90.9|92.7|91.1|91.9|91.5|91.1|92.7|90.3|93.5|92.7|91.9|92.3|92.7|91.9|92.3|92.7|92.1|91.7|90.1|85.9|88.9|89.1|89.7|91.5|91.1|88.1|86.5|93.3|87.9|91.1|89.7|87.5|90.9|87.9|89.9|89.7|90.9|89.9|88.7|90.9|90.5|92.1|92.5|90.7|89.7|85.7|90.1|89.7|92.5|91.3|90.5|87.5|89.5|91.7|90.9|88.5|92.7|90.7|90.1|90.7|90.1|90.7|90.3|89.3|89.5|90.7|90.9|88.3
2026-08-25,KDEN,Denver,84.7,2026-08-25T19:56:18+00:00,88.5|86.1|85.8|92.8|84.7|88.5|90.9|89.0|81.4|92.6|86.1|94.7|88.8|88.5|82.8|93.1|78.7|89.0|90.4|90.7|91.2|79.0|94.7|90.7|92.0|82.0|88.8|79.0|84.2|93.1|88.8|81.4|86.1|79.8|82.5|84.2|84.7|84.2|82.3|73.0|86.3|83.1|77.4|87.1|81.7|82.8|82.0|76.8|84.7|80.4|86.9|85.5|82.3|82.3|83.1|79.0|87.1|87.1|87.4|87.1|79.8|77.6|81.7|80.9|83.9|79.8|86.3|85.5|86.3|80.4|85.5|79.8|83.9|88.0|87.1|82.8|84.2|81.4|79.8|84.7|84.2|77.4
2026-08-25,KLAX,Los Angeles,94.5,2026-08-25T19:56:18+00:00,84.8|85.1|87.3|84.7|84.9|86.2|85.8|84.9|86.1|84.8|86.3|84.2|85.0|84.4|84.9|85.0|84.4|84.0|84.6|85.6|85.9|84.9|86.0|84.9|85.9|84.9|83.5|85.3|85.7|85.2|84.9|95.4|93.0|96.1|94.8|96.1|94.7|94.9|95.4|95.4|94.0|96.5|97.0|96.8|94.0|97.6|98.0|95.7|96.1|96.2|96.2|95.8|97.0|95.0|95.2|94.7|95.7|96.3|94.3|95.3|97.8|93.4|94.5|95.2|95.0|96.4|94.6|96.2|94.3|95.5|95.8|94.9|95.9|94.4|94.5|96.0|95.6|96.1|94.2|95.1|92.6|94.9
2026-08-25,KPHL,Philadelphia,82.5,2026-08-25T19:56:18+00:00,81.9|81.0|81.0|83.0|81.0|83.0|80.7|83.5|81.1|78.3|83.1|82.9|83.0|80.5|81.1|80.7|79.7|81.9|80.6|81.8|78.8|79.5|80.9|82.6|82.4|81.9|82.3|83.5|79.7|83.1|80.6|83.4|85.1|85.1|82.6|80.7|82.8|81.5|86.8|84.8|82.4|82.5|79.0|82.8|82.0|80.0|80.9|80.1|86.7|82.3|85.1|84.7|79.1|81.4|88.4|81.5|83.4|85.9|85.9|84.4|83.1|85.1|82.8|81.9|80.9|84.9|86.8|83.1|84.8|81.8|81.0|81.9|82.8|82.5|80.2|83.1|84.8|84.4|83.7|85.9|78.6|83.3
2026-08-25,KAUS,Austin,100.8,2026-08-25T19:56:18+00:00,103.4|100.9|107.3|106.8|97.9|107.0|96.6|106.6|103.5|107.3|106.6|105.8|105.8|108.0|103.8|101.8|104.3|105.8|104.7|103.6|103.6|98.4|100.6|106.4|108.1|103.2|101.3|100.5|100.2|107.0|101.7|100.4|101.4|100.9|100.5|99.3|100.0|100.0|100.7|100.2|100.9|100.6|100.0|100.3|101.2|100.3|100.5|100.8|100.0|99.8|100.0|101.3|100.0|100.5|101.2|101.0|100.0|100.0|100.9|100.8|100.1|100.4|99.8|100.6|100.2|100.8|100.5|100.9|99.9|101.0|100.7|99.7|101.3|99.5|99.9|100.5|100.9|100.0|100.7|100.6|100.9|100.1
2026-08-25,KMDW,Chicago,78.8,2026-08-25T19:56:18+00:00,79.4|78.4|80.2|80.3|78.3|78.8|78.7|81.0|80.8|79.9|80.3|79.1|81.9|80.3|75.6|79.8|76.1|79.9|80.4|80.3|78.0|78.7|80.7|80.7|82.2|80.2|78.8|79.4|76.9|79.2|76.1|78.4|80.6|78.5|78.0|78.4|78.3|78.4|77.1|77.9|79.2|76.9|78.4|79.0|77.3|79.5|79.0|78.4|78.3|77.9|78.8|80.8|82.0|78.7|77.6|79.1|77.1|79.5|78.1|81.2|78.3|80.0|79.5|79.5|77.7|79.5|78.8|79.0|78.7|77.6|78.4|78.5|78.8|77.7|77.2|78.4|78.1|78.8|78.7|77.3|77.2|77.2
2026-08-25,KSFO,San Francisco,72.0,2026-08-25T19:56:18+00:00,76.2|76.2|76.4|75.5|76.4|76.8|75.6|77.0|76.9|76.1|77.0|77.4|75.5|74.7|76.8|76.0|76.8|75.8|76.4|74.9|75.1|76.8|76.0|75.9|75.0|75.9|77.0|76.3|76.9|75.7|77.9|71.8|73.0|73.1|70.7|70.9|71.1|71.2|70.5|71.3|74.6|71.8|70.3|73.1|71.7|70.4|69.5|72.3|70.4|72.5|70.9|72.3|70.4|71.1|70.9|68.3|70.2|70.7|69.9|71.2|71.7|71.6|71.6|71.3|70.9|70.4|70.2|71.6|71.2|71.5|71.8|72.4|72.4|70.7|70.9|71.8|74.4|71.8|70.3|71.0|71.7|69.4
2026-08-25,KPHX,Phoenix,113.7,2026-08-25T19:56:18+00:00,111.7|112.9|109.2|111.9|111.1|113.7|111.4|112.9|111.2|112.2|111.6|112.5|112.0|111.9|111.2|111.1|112.2|111.2|109.9|109.7|113.2|107.4|112.7|111.7|112.5|111.1|110.7|109.1|111.4|112.2|110.4|115.7|115.8|116.3|113.4|115.0|112.4|115.4|114.9|115.5|116.0|110.9|115.7|114.9|116.2|116.8|116.7|115.8|115.8|115.4|114.7|111.6|113.7|114.4|112.9|115.2|114.9|115.2|116.2|113.7|116.0|115.7|115.2|115.4|115.8|116.2|116.3|113.0|114.4|113.7|114.4|114.2|114.9|114.9|113.7|113.5|116.8|116.8|115.2|116.8|116.7|117.2
2026-08-25,KDCA,Washington DC,84.5,2026-08-25T19:56:18+00:00,84.5|83.8|83.3|87.1|87.1|86.6|89.5|86.2|85.9|79.2|91.2|85.2|86.6|85.4|82.8|83.5|85.0|82.3|81.6|84.0|79.0|85.2|85.2|89.8|87.8|84.5|84.5|87.8|79.0|85.0|84.7|83.5|86.9|87.1|83.1|80.7|83.3|84.0|81.1|83.3|84.7|81.1|83.3|83.1|82.6|86.2|81.4|80.4|91.9|83.5|87.1|83.3|84.7|85.4|85.0|82.1|84.0|83.5|85.9|88.1|81.9|81.9|91.9|83.3|80.7|84.7|89.0|88.3|83.3|82.3|80.2|81.9|85.7|85.4|80.2|85.0|85.0|84.3|94.1|82.6|81.9|85.4
2026-08-25,KATL,Atlanta,93.1,2026-08-25T19:56:18+00:00,95.7|94.4|96.2|96.4|96.3|96.5|95.2|95.1|96.9|93.9|94.4|96.2|95.2|94.4|97.0|95.9|94.2|95.4|94.3|95.2|95.2|93.1|95.9|94.9|97.1|95.1|93.0|94.5|92.0|96.4|93.2|91.7|94.7|92.9|92.0|89.2|95.0|90.4|89.9|93.1|94.1|91.0|92.2|90.4|91.4|93.2|91.2|92.6|95.1|89.3|91.6|91.3|92.6|94.1|96.4|89.7|94.2|91.3|91.6|91.3|94.2|87.4|90.2|90.4|89.5|90.4|90.0|96.0|91.7|91.1|89.1|91.3|89.7|91.3|88.7|92.4|89.7|95.3|91.3|92.3|88.7|94.5
2026-08-25,KDFW,Dallas,104.0,2026-08-25T19:56:18+00:00,106.9|102.1|107.9|105.9|102.8|108.4|102.7|107.5|106.5|111.1|109.7|105.7|107.2|107.9|104.3|108.4|105.8|107.7|105.6|106.6|108.4|101.3|105.5|106.0|109.7|106.7|103.6|103.7|103.9|108.6|105.3|102.7|103.9|103.3|102.6|99.7|101.8|102.3|102.5|104.7|104.3|104.0|104.4|104.7|103.6|100.8|104.7|104.1|103.9|104.5|105.0|103.6|103.0|104.4|103.8|104.2|103.5|101.7|105.0|100.8|103.2|100.9|104.2|103.2|102.7|104.2|103.7|104.3|102.9|102.5|103.2|101.2|102.8|102.8|101.0|104.3|103.9|100.6|103.8|104.6|103.9|103.6
