date,station,city,high_f,last_update_utc
2026-07-09,KAUS,Austin,98.6,2026-07-09T21:40:03+00:00
2026-07-09,KDEN,Denver,87.1,2026-07-09T21:40:03+00:00
2026-07-09,KLAX,Los Angeles,73.4,2026-07-09T20:02:32+00:00
2026-07-09,KMDW,Chicago,86.0,2026-07-09T21:40:03+00:00
2026-07-09,KMIA,Miami,91.4,2026-07-09T18:39:46+00:00
2026-07-09,KNYC,New York City,77.0,2026-07-09T18:39:46+00:00
2026-07-09,KPHL,Philadelphia,78.8,2026-07-09T20:02:32+00:00
2026-07-10,KAUS,Austin,89.6,2026-07-10T01:24:31+00:00
2026-07-10,KDEN,Denver,75.0,2026-07-10T01:24:31+00:00
2026-07-10,KLAX,Los Angeles,69.8,2026-07-10T01:24:31+00:00
2026-07-10,KMDW,Chicago,82.4,2026-07-10T01:24:31+00:00
2026-07-10,KMIA,Miami,86.0,2026-07-10T01:24:31+00:00
2026-07-10,KNYC,New York City,73.9,2026-07-10T01:24:31+00:00
2026-07-10,KPHL,Philadelphia,75.2,2026-07-10T01:24:31+00:00
