graded_utc,sport,ticker,pick,books_pct,books_low_pct,books_high_pct,kalshi_bid_cents,hours_to_start,boarded,market_result,result
2026-09-15T00:42:30+00:00,TENNIS,KXWTAMATCH-26SEP14MONSTE-STE,Sloane Stephens wins,79.8,79.3,80.2,76.0,14.8,1,yes,WIN
2026-09-15T19:05:29+00:00,MLB,KXMLBGAME-26SEP141840CWSCLE-CLE,Cleveland Guardians wins,58.5,58.2,59.2,59.0,2.8,0,no,LOSS
2026-09-15T19:05:29+00:00,MLB,KXMLBGAME-26SEP141840LADCIN-LAD,Los Angeles Dodgers wins,65.9,65.4,67.0,66.0,2.8,0,yes,WIN
2026-09-15T19:05:30+00:00,MLB,KXMLBGAME-26SEP141907DETTOR-TOR,Toronto Blue Jays wins,56.5,56.0,57.1,56.0,3.3,0,no,LOSS
2026-09-15T19:05:30+00:00,MLB,KXMLBGAME-26SEP141940ATLCHC-CHC,Chicago Cubs wins,55.3,55.0,55.7,55.0,3.8,0,yes,WIN
2026-09-15T19:05:31+00:00,MLB,KXMLBGAME-26SEP141940NYYMIN-NYY,New York Yankees wins,55.3,55.0,55.9,55.0,19.5,0,yes,WIN
2026-09-15T19:05:31+00:00,MLB,KXMLBGAME-26SEP141945SFSTL-STL,St. Louis Cardinals wins,56.6,56.4,56.9,57.0,3.9,0,yes,WIN
2026-09-15T19:05:31+00:00,MLB,KXMLBGAME-26SEP142040SDCOL-SD,San Diego Padres wins,64.3,62.5,64.8,65.0,4.8,0,yes,WIN
2026-09-15T19:05:31+00:00,MLB,KXMLBGAME-26SEP142140MIAAZ-AZ,Arizona Diamondbacks wins,55.1,54.4,56.0,55.0,1.0,0,yes,WIN
2026-09-15T19:05:32+00:00,NFL,KXNFLGAME-26SEP14DENKC-KC,Kansas City Chiefs wins,55.3,54.3,55.7,56.0,20.8,0,yes,WIN
2026-09-15T19:05:32+00:00,TENNIS,KXWTAMATCH-26SEP14FREHIB-FRE,Magdalena Frech wins,77.1,76.2,77.8,77.0,1.5,1,yes,WIN
2026-09-15T19:05:32+00:00,TENNIS,KXWTAMATCH-26SEP14SONSHY-SON,Zeynep Sonmez wins,72.2,71.2,73.2,72.0,3.1,1,yes,WIN
2026-09-15T19:05:32+00:00,MLB,KXMLBGAME-26SEP141910BALNYM-NYM,New York Mets wins,56.1,54.3,56.8,57.0,3.3,0,no,LOSS
2026-09-16T00:30:21+00:00,TENNIS,KXWTAMATCH-26SEP15PARBEJ-BEJ,Sara Bejlek wins,75.4,75.0,76.5,77.0,1.2,1,yes,WIN
2026-09-16T00:30:22+00:00,TENNIS,KXWTAMATCH-26SEP15BUCUDV-BUC,Cristina Bucsa wins,68.3,67.8,70.2,68.0,18.3,0,yes,WIN
2026-09-16T13:37:22+00:00,MLB,KXMLBGAME-26SEP151840ATHTB-TB,Tampa Bay Rays wins,67.2,66.7,67.5,67.0,3.4,0,yes,WIN
2026-09-16T13:37:22+00:00,MLB,KXMLBGAME-26SEP151840LADCIN-LAD,Los Angeles Dodgers wins,67.9,67.4,68.5,68.0,3.4,0,yes,WIN
2026-09-16T13:37:22+00:00,MLB,KXMLBGAME-26SEP151840MILPIT-MIL,Milwaukee Brewers wins,65.6,65.1,65.9,67.0,3.4,0,yes,WIN
2026-09-16T13:37:23+00:00,MLB,KXMLBGAME-26SEP151845PHIWSH-PHI,Philadelphia Phillies wins,65.7,64.4,66.1,66.0,3.4,0,no,LOSS
2026-09-16T13:37:23+00:00,MLB,KXMLBGAME-26SEP151940ATLCHC-CHC,Chicago Cubs wins,56.3,55.8,56.7,57.0,4.4,0,no,LOSS
2026-09-16T13:37:24+00:00,MLB,KXMLBGAME-26SEP151940NYYMIN-NYY,New York Yankees wins,61.6,61.2,62.1,62.0,4.4,0,yes,WIN
2026-09-16T13:37:24+00:00,MLB,KXMLBGAME-26SEP151945SFSTL-STL,St. Louis Cardinals wins,59.4,59.0,60.2,59.0,4.4,0,no,LOSS
2026-09-16T13:37:24+00:00,MLB,KXMLBGAME-26SEP152010KCHOU-HOU,Houston Astros wins,59.8,59.3,60.2,60.0,4.9,0,yes,WIN
2026-09-16T13:37:25+00:00,MLB,KXMLBGAME-26SEP152138SEALAA-SEA,Seattle Mariners wins,60.1,59.8,61.4,61.0,1.1,0,no,LOSS
2026-09-16T13:37:25+00:00,MLB,KXMLBGAME-26SEP152140MIAAZ-AZ,Arizona Diamondbacks wins,57.4,57.1,58.2,57.0,1.2,0,no,LOSS
2026-09-16T13:37:26+00:00,TENNIS,KXWTAMATCH-26SEP15STETJE-TJE,Janice Tjen wins,61.5,59.9,63.0,61.0,0.2,0,no,LOSS
2026-09-16T13:37:26+00:00,MLB,KXMLBGAME-26SEP151840CWSCLE-CLE,Cleveland Guardians wins,57.8,56.8,58.5,58.0,3.4,0,yes,WIN
2026-09-16T13:37:26+00:00,MLB,KXMLBGAME-26SEP151907DETTOR-TOR,Toronto Blue Jays wins,55.9,55.2,56.4,56.0,3.8,0,no,LOSS
2026-09-16T13:37:27+00:00,MLB,KXMLBGAME-26SEP152040SDCOL-SD,San Diego Padres wins,63.2,62.5,63.9,63.0,0.2,0,no,LOSS
2026-09-16T21:26:43+00:00,TENNIS,KXWTAMATCH-26SEP16FREDOL-FRE,Magdalena Frech wins,64.7,64.0,65.5,65.0,22.9,0,yes,WIN
2026-09-16T21:26:44+00:00,TENNIS,KXWTAMATCH-26SEP16KOSTOW-KOS,Marta Kostyuk wins,71.6,70.3,72.0,71.0,22.9,1,scalar,VOID
2026-09-16T21:26:44+00:00,MLB,KXMLBGAME-26SEP161315SFSTL-STL,St. Louis Cardinals wins,59.4,58.6,60.2,60.0,3.6,0,no,LOSS
2026-09-16T21:26:44+00:00,MLB,KXMLBGAME-26SEP161310CWSCLE-CLE,Cleveland Guardians wins,61.4,59.6,62.1,62.0,3.6,0,yes,WIN
2026-09-17T00:39:30+00:00,MLB,KXMLBGAME-26SEP161340NYYMIN-NYY,New York Yankees wins,61.8,59.3,63.3,62.0,0.0,0,no,LOSS
