scanned_utc,sport,game,pick,ticker,commence_utc,oddspapi_pct,n_books,oddspapi_low_pct,oddspapi_high_pct,theoddsapi_pct,kalshi_bid_cents,boarded
2026-09-15T13:06:49+00:00,MLB,Athletics @ Tampa Bay Rays,Tampa Bay Rays wins,KXMLBGAME-26SEP151840ATHTB-TB,2026-09-15T22:40:00+00:00,67.3,2,67.3,67.3,66.7,68.0,0
2026-09-15T13:06:49+00:00,MLB,Los Angeles Dodgers @ Cincinnati Reds,Los Angeles Dodgers wins,KXMLBGAME-26SEP151840LADCIN-LAD,2026-09-15T22:40:00+00:00,68.1,2,67.9,68.3,66.5,67.0,0
2026-09-15T13:06:49+00:00,MLB,Milwaukee Brewers @ Pittsburgh Pirates,Milwaukee Brewers wins,KXMLBGAME-26SEP151840MILPIT-MIL,2026-09-15T22:41:00+00:00,69.3,2,69.1,69.4,68.8,68.0,0
2026-09-15T13:06:49+00:00,MLB,Philadelphia Phillies @ Washington Nationals,Philadelphia Phillies wins,KXMLBGAME-26SEP151845PHIWSH-PHI,2026-09-15T22:45:00+00:00,65.7,2,65.6,65.8,64.4,65.0,0
2026-09-15T13:06:49+00:00,MLB,Atlanta Braves @ Chicago Cubs,Chicago Cubs wins,KXMLBGAME-26SEP151940ATLCHC-CHC,2026-09-15T23:40:00+00:00,56.5,2,56.2,56.8,56.0,56.0,0
2026-09-15T13:06:49+00:00,MLB,New York Yankees @ Minnesota Twins,New York Yankees wins,KXMLBGAME-26SEP151940NYYMIN-NYY,2026-09-15T23:40:00+00:00,61.7,2,61.6,61.8,60.6,62.0,0
2026-09-15T13:06:49+00:00,MLB,San Francisco Giants @ St. Louis Cardinals,St. Louis Cardinals wins,KXMLBGAME-26SEP151945SFSTL-STL,2026-09-15T23:45:00+00:00,59.9,2,59.9,60.0,59.9,59.0,0
2026-09-15T13:06:49+00:00,MLB,Kansas City Royals @ Houston Astros,Houston Astros wins,KXMLBGAME-26SEP152010KCHOU-HOU,2026-09-16T00:10:00+00:00,60.2,2,60.0,60.3,59.4,59.0,0
2026-09-15T13:06:49+00:00,MLB,Seattle Mariners @ Los Angeles Angels,Seattle Mariners wins,KXMLBGAME-26SEP152138SEALAA-SEA,2026-09-16T01:38:00+00:00,61.2,2,61.1,61.3,60.2,60.0,0
2026-09-15T13:06:49+00:00,MLB,Miami Marlins @ Arizona Diamondbacks,Arizona Diamondbacks wins,KXMLBGAME-26SEP152140MIAAZ-AZ,2026-09-16T01:40:00+00:00,58.1,2,57.8,58.4,57.3,57.0,0
2026-09-15T19:18:51+00:00,MLB,Athletics @ Tampa Bay Rays,Tampa Bay Rays wins,KXMLBGAME-26SEP151840ATHTB-TB,2026-09-15T22:40:00+00:00,67.0,2,66.8,67.3,67.2,67.0,0
2026-09-15T19:18:51+00:00,MLB,Los Angeles Dodgers @ Cincinnati Reds,Los Angeles Dodgers wins,KXMLBGAME-26SEP151840LADCIN-LAD,2026-09-15T22:40:00+00:00,68.0,2,67.9,68.1,67.7,68.0,0
2026-09-15T19:18:51+00:00,MLB,Milwaukee Brewers @ Pittsburgh Pirates,Milwaukee Brewers wins,KXMLBGAME-26SEP151840MILPIT-MIL,2026-09-15T22:41:00+00:00,65.7,2,65.7,65.7,65.6,67.0,0
2026-09-15T19:18:51+00:00,MLB,Philadelphia Phillies @ Washington Nationals,Philadelphia Phillies wins,KXMLBGAME-26SEP151845PHIWSH-PHI,2026-09-15T22:45:00+00:00,65.9,2,65.9,65.9,65.7,66.0,0
2026-09-15T19:18:51+00:00,MLB,Atlanta Braves @ Chicago Cubs,Chicago Cubs wins,KXMLBGAME-26SEP151940ATLCHC-CHC,2026-09-15T23:40:00+00:00,57.1,2,56.7,57.6,56.3,56.0,0
2026-09-15T19:18:51+00:00,MLB,New York Yankees @ Minnesota Twins,New York Yankees wins,KXMLBGAME-26SEP151940NYYMIN-NYY,2026-09-15T23:40:00+00:00,62.0,2,61.8,62.2,61.6,62.0,0
2026-09-15T19:18:51+00:00,MLB,San Francisco Giants @ St. Louis Cardinals,St. Louis Cardinals wins,KXMLBGAME-26SEP151945SFSTL-STL,2026-09-15T23:45:00+00:00,60.1,2,60.0,60.2,59.4,59.0,0
2026-09-15T19:18:51+00:00,MLB,Kansas City Royals @ Houston Astros,Houston Astros wins,KXMLBGAME-26SEP152010KCHOU-HOU,2026-09-16T00:10:00+00:00,59.9,2,59.9,60.0,59.8,60.0,0
2026-09-15T19:18:51+00:00,MLB,Seattle Mariners @ Los Angeles Angels,Seattle Mariners wins,KXMLBGAME-26SEP152138SEALAA-SEA,2026-09-16T01:38:00+00:00,60.7,2,60.5,60.9,60.6,61.0,0
2026-09-15T19:18:51+00:00,MLB,Miami Marlins @ Arizona Diamondbacks,Arizona Diamondbacks wins,KXMLBGAME-26SEP152140MIAAZ-AZ,2026-09-16T01:40:00+00:00,57.7,2,57.4,58.0,57.3,57.0,0
2026-09-15T19:18:51+00:00,MLB,Chicago White Sox @ Cleveland Guardians,Cleveland Guardians wins,KXMLBGAME-26SEP151840CWSCLE-CLE,2026-09-15T22:40:00+00:00,58.1,2,57.8,58.4,57.8,58.0,0
2026-09-15T19:18:51+00:00,MLB,Detroit Tigers @ Toronto Blue Jays,Toronto Blue Jays wins,KXMLBGAME-26SEP151907DETTOR-TOR,2026-09-15T23:08:00+00:00,56.2,2,56.2,56.2,55.9,56.0,0
2026-09-15T19:18:51+00:00,MLB,San Diego Padres @ Colorado Rockies,San Diego Padres wins,KXMLBGAME-26SEP152040SDCOL-SD,2026-09-16T00:40:00+00:00,62.6,2,62.4,62.8,63.0,63.0,0
2026-09-16T19:08:32+00:00,MLB,Athletics @ Tampa Bay Rays,Tampa Bay Rays wins,KXMLBGAME-26SEP161840ATHTB-TB,2026-09-16T22:41:00+00:00,62.0,2,61.9,62.2,61.9,62.0,0
2026-09-16T19:08:32+00:00,MLB,Los Angeles Dodgers @ Cincinnati Reds,Los Angeles Dodgers wins,KXMLBGAME-26SEP161840LADCIN-LAD,2026-09-16T22:41:00+00:00,66.1,2,65.7,66.5,65.7,66.0,0
2026-09-16T19:08:32+00:00,MLB,Milwaukee Brewers @ Pittsburgh Pirates,Milwaukee Brewers wins,KXMLBGAME-26SEP161840MILPIT-MIL,2026-09-16T22:41:00+00:00,53.2,2,53.0,53.3,55.3,55.0,0
2026-09-16T19:08:32+00:00,MLB,Philadelphia Phillies @ Washington Nationals,Philadelphia Phillies wins,KXMLBGAME-26SEP161845PHIWSH-PHI,2026-09-16T22:46:00+00:00,63.8,2,63.3,64.3,63.7,64.0,0
2026-09-16T19:08:32+00:00,MLB,Baltimore Orioles @ New York Mets,New York Mets wins,KXMLBGAME-26SEP161910BALNYM-NYM,2026-09-16T23:11:00+00:00,52.1,2,52.0,52.2,56.2,55.0,0
2026-09-16T19:08:32+00:00,MLB,Atlanta Braves @ Chicago Cubs,Chicago Cubs wins,KXMLBGAME-26SEP161940ATLCHC-CHC,2026-09-16T23:41:00+00:00,59.7,2,59.5,60.0,59.4,59.0,0
2026-09-16T19:08:32+00:00,MLB,Kansas City Royals @ Houston Astros,Houston Astros wins,KXMLBGAME-26SEP162010KCHOU-HOU,2026-09-17T00:11:00+00:00,60.3,2,60.0,60.6,59.4,60.0,0
