graded_utc,parlay_id,n_legs,legs,tickers,combined_pct,legs_won,legs_lost,legs_void,result
2026-09-09T18:09:35+00:00,2026-09-08-2LEG,2,New York Yankees wins (Colorado Rockies @ New York Yankees) | Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers),KXMLBGAME-26SEP081905COLNYY-NYY|KXMLBGAME-26SEP082210CINLAD-LAD,54.3,2,0,0,HIT
2026-09-10T04:16:06+00:00,2026-09-08-3LEG,3,New York Yankees wins (Colorado Rockies @ New York Yankees) | Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers) | Boston Red Sox wins (Los Angeles Angels @ Boston Red Sox),KXMLBGAME-26SEP081905COLNYY-NYY|KXMLBGAME-26SEP082210CINLAD-LAD|KXMLBGAME-26SEP091845LAABOS-BOS,35.9,2,1,0,MISS
2026-09-10T04:16:06+00:00,2026-09-08-4LEG,4,New York Yankees wins (Colorado Rockies @ New York Yankees) | Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers) | Boston Red Sox wins (Los Angeles Angels @ Boston Red Sox) | Milwaukee Brewers wins (Chicago Cubs @ Milwaukee Brewers),KXMLBGAME-26SEP081905COLNYY-NYY|KXMLBGAME-26SEP082210CINLAD-LAD|KXMLBGAME-26SEP091845LAABOS-BOS|KXMLBGAME-26SEP081940CHCMIL-MIL,23.5,3,1,0,MISS
2026-09-10T17:57:01+00:00,2026-09-08-2LEG,2,Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers) | Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers),KXMLBGAME-26SEP082210CINLAD-LAD|KXMLBGAME-26SEP092210CINLAD-LAD,52.6,2,0,0,HIT
2026-09-10T17:57:01+00:00,2026-09-08-3LEG,3,Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers) | Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers) | Boston Red Sox wins (Los Angeles Angels @ Boston Red Sox),KXMLBGAME-26SEP082210CINLAD-LAD|KXMLBGAME-26SEP092210CINLAD-LAD|KXMLBGAME-26SEP091845LAABOS-BOS,34.2,2,1,0,MISS
2026-09-10T17:57:01+00:00,2026-09-08-4LEG,4,Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers) | Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers) | Boston Red Sox wins (Los Angeles Angels @ Boston Red Sox) | San Diego Padres wins (Washington Nationals @ San Diego Padres),KXMLBGAME-26SEP082210CINLAD-LAD|KXMLBGAME-26SEP092210CINLAD-LAD|KXMLBGAME-26SEP091845LAABOS-BOS|KXMLBGAME-26SEP091610WSHSD-SD,21.7,3,1,0,MISS
2026-09-11T17:03:21+00:00,2026-09-09-2LEG,2,New York Yankees wins (Colorado Rockies @ New York Yankees) | Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers),KXMLBGAME-26SEP101905COLNYY-NYY|KXMLBGAME-26SEP092210CINLAD-LAD,52.9,2,0,0,HIT
2026-09-11T17:03:21+00:00,2026-09-09-3LEG,3,New York Yankees wins (Colorado Rockies @ New York Yankees) | Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers) | New York Yankees wins (Colorado Rockies @ New York Yankees),KXMLBGAME-26SEP101905COLNYY-NYY|KXMLBGAME-26SEP092210CINLAD-LAD|KXMLBGAME-26SEP091905COLNYY-NYY,36.1,3,0,0,HIT
2026-09-11T17:03:21+00:00,2026-09-09-4LEG,4,New York Yankees wins (Colorado Rockies @ New York Yankees) | Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers) | New York Yankees wins (Colorado Rockies @ New York Yankees) | Boston Red Sox wins (Los Angeles Angels @ Boston Red Sox),KXMLBGAME-26SEP101905COLNYY-NYY|KXMLBGAME-26SEP092210CINLAD-LAD|KXMLBGAME-26SEP091905COLNYY-NYY|KXMLBGAME-26SEP091845LAABOS-BOS,23.6,3,1,0,MISS
2026-09-11T17:03:22+00:00,2026-09-09-3LEG,3,New York Yankees wins (Colorado Rockies @ New York Yankees) | Los Angeles Dodgers wins (Cincinnati Reds @ Los Angeles Dodgers) | Philadelphia Phillies wins (Houston Astros @ Philadelphia Phillies),KXMLBGAME-26SEP101905COLNYY-NYY|KXMLBGAME-26SEP092210CINLAD-LAD|KXMLBGAME-26SEP101305HOUPHI-PHI,32.2,2,1,0,MISS
2026-09-11T17:03:22+00:00,2026-09-10-2LEG,2,New York Yankees wins (Colorado Rockies @ New York Yankees) | Aryna Sabalenka wins (Jessica Pegula @ Aryna Sabalenka),KXMLBGAME-26SEP101905COLNYY-NYY|KXWTAMATCH-26SEP10SABPEG-SAB,46.3,2,0,0,HIT
2026-09-11T17:03:22+00:00,2026-09-10-3LEG,3,New York Yankees wins (Colorado Rockies @ New York Yankees) | Aryna Sabalenka wins (Jessica Pegula @ Aryna Sabalenka) | Philadelphia Phillies wins (Houston Astros @ Philadelphia Phillies),KXMLBGAME-26SEP101905COLNYY-NYY|KXWTAMATCH-26SEP10SABPEG-SAB|KXMLBGAME-26SEP101305HOUPHI-PHI,28.6,2,1,0,MISS
