graded_utc,ticker,city,action,cost_cents,count,fee_cents,market_result,result,pnl,strategy
2026-08-18T13:31:59+00:00,KXHIGHCHI-26AUG17-B80.5,Chicago,YES,40,2,4,NO,LOSS,-0.84,night
2026-08-18T13:31:59+00:00,KXHIGHTDC-26AUG17-B92.5,Washington DC,YES,37,2,4,NO,LOSS,-0.78,night
2026-08-18T13:31:59+00:00,KXHIGHTATL-26AUG17-B97.5,Atlanta,YES,34,2,4,YES,WIN,1.28,night
2026-08-18T13:31:59+00:00,KXHIGHTDAL-26AUG17-B106.5,Dallas,YES,20,5,6,YES,WIN,3.94,night
2026-08-18T13:31:59+00:00,KXHIGHDEN-26AUG17-B89.5,Denver,YES,36,2,4,NO,LOSS,-0.76,night
2026-08-18T13:31:59+00:00,KXHIGHTOKC-26AUG17-B100.5,Oklahoma City,YES,14,7,6,NO,LOSS,-1.04,night
2026-08-18T13:31:59+00:00,KXHIGHTBOS-26AUG17-T74,Boston,YES,53,1,2,NO,LOSS,-0.55,night
2026-08-18T13:31:59+00:00,KXHIGHTSATX-26AUG17-B101.5,San Antonio,YES,36,2,4,NO,LOSS,-0.76,night
2026-08-18T13:31:59+00:00,KXHIGHTNOLA-26AUG17-B97.5,New Orleans,YES,25,4,6,NO,LOSS,-1.06,night
2026-08-19T13:14:29+00:00,KXHIGHPHIL-26AUG17-B89.5,Philadelphia,YES,46,2,4,YES,WIN,1.04,night
2026-08-19T13:14:29+00:00,KXHIGHLAX-26AUG17-B80.5,Los Angeles,YES,16,6,6,NO,LOSS,-1.02,night
2026-08-19T13:14:29+00:00,KXHIGHTLV-26AUG17-B103.5,Las Vegas,YES,26,3,5,NO,LOSS,-0.83,night
2026-08-19T13:14:29+00:00,KXHIGHTSFO-26AUG17-T74,San Francisco,YES,9,11,7,NO,LOSS,-1.06,night
2026-08-19T13:14:29+00:00,KXHIGHNY-26AUG18-T85,New York City,YES,61,1,2,NO,LOSS,-0.63,night
2026-08-19T13:14:29+00:00,KXHIGHMIA-26AUG18-B97.5,Miami,YES,43,2,4,NO,LOSS,-0.9,night
2026-08-19T13:14:29+00:00,KXHIGHDEN-26AUG18-B91.5,Denver,YES,32,3,5,NO,LOSS,-1.01,night
2026-08-19T13:14:29+00:00,KXHIGHPHIL-26AUG18-B90.5,Philadelphia,YES,66,1,2,NO,LOSS,-0.68,night
2026-08-19T13:14:29+00:00,KXHIGHCHI-26AUG18-B82.5,Chicago,YES,39,2,4,NO,LOSS,-0.82,night
2026-08-19T13:14:29+00:00,KXHIGHTDC-26AUG18-B90.5,Washington DC,YES,30,3,5,NO,LOSS,-0.95,night
2026-08-19T13:14:29+00:00,KXHIGHTDAL-26AUG18-B106.5,Dallas,YES,64,1,2,NO,LOSS,-0.66,night
2026-08-19T13:14:29+00:00,KXHIGHTOKC-26AUG18-B104.5,Oklahoma City,YES,22,4,5,NO,LOSS,-0.93,night
2026-08-19T13:14:29+00:00,KXHIGHTMIN-26AUG18-T82,Minneapolis,YES,32,3,5,YES,WIN,1.99,night
2026-08-19T13:14:29+00:00,KXHIGHTNOLA-26AUG18-T95,New Orleans,YES,23,4,5,NO,LOSS,-0.97,night
2026-08-19T13:14:29+00:00,KXHIGHTHOU-26AUG18-B98.5,Houston,YES,22,4,5,NO,LOSS,-0.93,night
2026-08-20T13:16:12+00:00,KXHIGHTSFO-26AUG18-T75,San Francisco,YES,8,12,7,NO,LOSS,-1.03,night
2026-08-20T13:16:12+00:00,KXHIGHTSEA-26AUG18-T76,Seattle,YES,17,5,5,NO,LOSS,-0.9,night
2026-08-20T13:16:12+00:00,KXHIGHNY-26AUG19-B87.5,New York City,YES,33,3,5,NO,LOSS,-1.04,night
2026-08-20T13:16:12+00:00,KXHIGHMIA-26AUG19-B95.5,Miami,YES,32,3,5,YES,WIN,1.99,night
2026-08-20T13:16:12+00:00,KXHIGHDEN-26AUG19-B86.5,Denver,YES,15,6,6,NO,LOSS,-0.96,night
2026-08-20T13:16:12+00:00,KXHIGHPHIL-26AUG19-B88.5,Philadelphia,YES,41,2,4,NO,LOSS,-0.86,night
2026-08-20T13:16:12+00:00,KXHIGHCHI-26AUG19-T81,Chicago,YES,22,4,5,NO,LOSS,-0.93,night
2026-08-20T13:16:12+00:00,KXHIGHTDC-26AUG19-B91.5,Washington DC,YES,27,3,5,NO,LOSS,-0.86,night
2026-08-20T13:16:12+00:00,KXHIGHTATL-26AUG19-B95.5,Atlanta,YES,46,2,4,YES,WIN,1.04,night
2026-08-20T13:16:12+00:00,KXHIGHTDAL-26AUG19-B107.5,Dallas,YES,13,7,6,NO,LOSS,-0.97,night
2026-08-20T13:16:12+00:00,KXHIGHTOKC-26AUG19-B109.5,Oklahoma City,YES,40,2,4,NO,LOSS,-0.84,night
