utc_time,station,city,max6_f,obs_time_utc
2026-09-15T13:34:00+00:00,KDEN,Denver,73.04,2026-09-15T11:53:00+00:00
2026-09-15T13:37:00+00:00,KDEN,Denver,73.04,2026-09-15T11:53:00+00:00
2026-09-15T18:19:01+00:00,KNYC,New York City,71.06,2026-09-15T17:51:00+00:00
2026-09-15T18:37:00+00:00,KNYC,New York City,71.06,2026-09-15T17:51:00+00:00
2026-09-16T00:19:00+00:00,KNYC,New York City,71.95,2026-09-15T23:51:00+00:00
2026-09-16T06:19:00+00:00,KNYC,New York City,64.94,2026-09-16T05:51:00+00:00
2026-09-16T12:19:00+00:00,KNYC,New York City,64.94,2026-09-16T11:51:00+00:00
2026-09-16T18:19:00+00:00,KNYC,New York City,75.92,2026-09-16T17:51:00+00:00
2026-09-16T18:37:00+00:00,KNYC,New York City,75.92,2026-09-16T17:51:00+00:00
2026-09-17T00:34:00+00:00,KNYC,New York City,77.0,2026-09-16T23:51:00+00:00
2026-09-17T06:19:00+00:00,KNYC,New York City,73.94,2026-09-17T05:51:00+00:00
2026-09-17T06:19:00+00:00,KMSP,Minneapolis,71.95,2026-09-17T05:53:00+00:00
2026-09-17T12:19:00+00:00,KNYC,New York City,73.94,2026-09-17T11:51:00+00:00
2026-09-17T12:34:00+00:00,KLAX,Los Angeles,69.98,2026-09-17T11:53:00+00:00
2026-09-17T12:49:00+00:00,KLAS,Las Vegas,80.95,2026-09-17T11:56:00+00:00
2026-09-17T18:19:00+00:00,KNYC,New York City,82.04,2026-09-17T17:51:00+00:00
2026-09-17T18:37:00+00:00,KNYC,New York City,82.04,2026-09-17T17:51:00+00:00
2026-09-18T00:19:00+00:00,KNYC,New York City,82.04,2026-09-17T23:51:00+00:00
2026-09-18T06:19:00+00:00,KNYC,New York City,78.98,2026-09-18T05:51:00+00:00
2026-09-18T06:19:00+00:00,KDFW,Dallas,96.08,2026-09-18T05:53:00+00:00
2026-09-18T06:19:00+00:00,KOKC,Oklahoma City,93.91,2026-09-18T05:52:00+00:00
2026-09-18T06:19:00+00:00,KMSY,New Orleans,86.0,2026-09-18T05:53:00+00:00
2026-09-18T12:19:00+00:00,KNYC,New York City,75.92,2026-09-18T11:51:00+00:00
2026-09-18T18:19:00+00:00,KNYC,New York City,80.06,2026-09-18T17:51:00+00:00
2026-09-18T18:19:00+00:00,KSEA,Seattle,60.08,2026-09-18T17:53:00+00:00
2026-09-18T18:37:00+00:00,KNYC,New York City,80.06,2026-09-18T17:51:00+00:00
