scanned_utc,sport,shelf,game,detail,commence_utc,series,ticker,side,pick,books_pct,kalshi_cents,fee_cents,gap_cents,n_books,shown,why
2026-08-19T22:18:12+00:00,MLB,MLB_KS,New York Yankees @ Baltimore Orioles,Will Warren K line 5.5,2026-08-19T22:36:00+00:00,KXMLBKS,KXMLBKS-26AUG191835NYYBAL-NYYWWARREN98-6,NO,Will Warren stays under 6 strikeouts,57.2,57.0,2,-1.8,6,0,"Sharps 57%, Kalshi 57c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_GAME,St. Louis Cardinals @ Cincinnati Reds,,2026-08-19T22:40:00+00:00,KXMLBGAME,KXMLBGAME-26AUG191840STLCIN-CIN,YES,Cincinnati Reds wins,56.1,57.0,2,-2.9,9,0,"Sharps 56%, Kalshi 57c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_KS,Toronto Blue Jays @ Tampa Bay Rays,Drew Rasmussen K line 5.5,2026-08-19T22:40:00+00:00,KXMLBKS,KXMLBKS-26AUG191840TORTB-TBDRASMUSSEN57-6,NO,Drew Rasmussen stays under 6 strikeouts,55.3,55.0,2,-1.7,6,0,"Sharps 55%, Kalshi 55c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_GAME,Toronto Blue Jays @ Tampa Bay Rays,,2026-08-19T22:40:00+00:00,KXMLBGAME,KXMLBGAME-26AUG191840TORTB-TB,YES,Tampa Bay Rays wins,64.7,65.0,2,-2.3,9,0,"Sharps 65%, Kalshi 65c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_GAME,San Francisco Giants @ Cleveland Guardians,,2026-08-19T22:41:00+00:00,KXMLBGAME,KXMLBGAME-26AUG191840SFCLE-CLE,YES,Cleveland Guardians wins,67.3,68.0,2,-2.7,9,0,"Sharps 67%, Kalshi 68c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_KS,Seattle Mariners @ Milwaukee Brewers,Logan Gilbert K line 6.5,2026-08-19T23:40:00+00:00,KXMLBKS,KXMLBKS-26AUG191940SEAMIL-SEALGILBERT36-7,NO,Logan Gilbert stays under 7 strikeouts,55.3,57.0,2,-3.7,6,0,"Sharps 55%, Kalshi 57c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_KS,Seattle Mariners @ Milwaukee Brewers,Dustin May K line 5.5,2026-08-19T23:40:00+00:00,KXMLBKS,KXMLBKS-26AUG191940SEAMIL-MILDMAY3-6,NO,Dustin May stays under 6 strikeouts,55.1,57.0,2,-3.9,6,0,"Sharps 55%, Kalshi 57c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_KS,Athletics @ Kansas City Royals,Jeffrey Springs K line 3.5,2026-08-19T23:41:00+00:00,KXMLBKS,KXMLBKS-26AUG191940ATHKC-ATHJSPRINGS59-4,NO,Jeffrey Springs stays under 4 strikeouts,56.3,60.0,2,-5.7,3,0,"Sharps 56%, Kalshi 60c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_KS,Athletics @ Kansas City Royals,Seth Lugo K line 4.5,2026-08-19T23:41:00+00:00,KXMLBKS,KXMLBKS-26AUG191940ATHKC-KCSLUGO67-5,NO,Seth Lugo stays under 5 strikeouts,57.7,61.0,2,-5.3,6,0,"Sharps 58%, Kalshi 61c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_GAME,Athletics @ Kansas City Royals,,2026-08-19T23:41:00+00:00,KXMLBGAME,KXMLBGAME-26AUG191940ATHKC-KC,YES,Kansas City Royals wins,62.4,65.0,2,-4.6,9,0,"Sharps 62%, Kalshi 65c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_KS,Washington Nationals @ Texas Rangers,Cade Cavalli K line 5.5,2026-08-20T00:06:00+00:00,KXMLBKS,KXMLBKS-26AUG192005WSHTEX-WSHCCAVALLI24-6,YES,Cade Cavalli strikes out 6+,56.3,57.0,2,-2.7,5,0,"Sharps 56%, Kalshi 57c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_GAME,Los Angeles Angels @ Houston Astros,,2026-08-20T00:10:00+00:00,KXMLBGAME,KXMLBGAME-26AUG192010LAAHOU-HOU,YES,Houston Astros wins,58.2,59.0,2,-2.8,9,0,"Sharps 58%, Kalshi 59c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_KS,Los Angeles Dodgers @ Colorado Rockies,Roki Sasaki K line 4.5,2026-08-20T00:40:00+00:00,KXMLBKS,KXMLBKS-26AUG192040LADCOL-LADRSASAKI11-5,YES,Roki Sasaki strikes out 5+,57.4,58.0,2,-2.6,5,0,"Sharps 57%, Kalshi 58c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_GAME,Los Angeles Dodgers @ Colorado Rockies,,2026-08-20T00:40:00+00:00,KXMLBGAME,KXMLBGAME-26AUG192040LADCOL-LAD,YES,Los Angeles Dodgers wins,63.9,66.0,2,-4.1,9,0,"Sharps 64%, Kalshi 66c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_GAME,San Francisco Giants @ Cleveland Guardians,,2026-08-20T17:11:00+00:00,KXMLBGAME,KXMLBGAME-26AUG201310SFCLE-CLE,YES,Cleveland Guardians wins,63.3,63.0,2,-1.7,5,0,"Sharps 63%, Kalshi 63c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_GAME,Toronto Blue Jays @ Tampa Bay Rays,,2026-08-20T17:11:00+00:00,KXMLBGAME,KXMLBGAME-26AUG201310TORTB-TB,YES,Tampa Bay Rays wins,60.7,62.0,2,-3.3,5,0,"Sharps 61%, Kalshi 62c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_GAME,Athletics @ Kansas City Royals,,2026-08-20T18:11:00+00:00,KXMLBGAME,KXMLBGAME-26AUG201410ATHKC-KC,YES,Kansas City Royals wins,55.7,56.0,2,-2.3,5,0,"Sharps 56%, Kalshi 56c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_GAME,Washington Nationals @ Texas Rangers,,2026-08-21T00:06:00+00:00,KXMLBGAME,KXMLBGAME-26AUG202005WSHTEX-TEX,YES,Texas Rangers wins,59.7,60.0,2,-2.3,5,0,"Sharps 60%, Kalshi 60c + 2c fee: the crowd already charges more than the sharps' number. No pick."
2026-08-19T22:18:12+00:00,MLB,MLB_GAME,Los Angeles Angels @ Houston Astros,,2026-08-21T00:11:00+00:00,KXMLBGAME,KXMLBGAME-26AUG202010LAAHOU-HOU,YES,Houston Astros wins,62.8,64.0,2,-3.2,5,0,"Sharps 63%, Kalshi 64c + 2c fee: the crowd already charges more than the sharps' number. No pick."
