graded_utc,sector,ticker,bet_on,side,dollars,market_result,result
2026-09-12T17:34:02+00:00,TENNIS,KXWTAMATCH-26SEP12BIEHIB-HIB,Nao Hibino,yes,2803.68,YES,HIT
2026-09-12T17:34:02+00:00,TENNIS,KXWTAMATCH-26SEP12BIEHIB-HIB,Nao Hibino,yes,102833.25,YES,HIT
2026-09-12T17:34:02+00:00,TENNIS,KXWTAMATCH-26SEP12BIEHIB-HIB,Nao Hibino,no,1895.24,YES,MISS
2026-09-12T17:34:02+00:00,TENNIS,KXWTAMATCH-26SEP12PANSCO-SCO,Katrina Scott,yes,2375.1,YES,HIT
2026-09-12T17:34:02+00:00,TENNIS,KXWTAMATCH-26SEP12PANSCO-SCO,Katrina Scott,yes,21228.58,YES,HIT
2026-09-12T17:34:02+00:00,TENNIS,KXWTAMATCH-26SEP12PANSCO-SCO,Katrina Scott,yes,3828.1,YES,HIT
2026-09-12T17:34:02+00:00,TENNIS,KXWTAMATCH-26SEP12PANSCO-SCO,Katrina Scott,yes,5600.42,YES,HIT
2026-09-12T17:34:02+00:00,TENNIS,KXWTAMATCH-26SEP12BIEHIB-BIE,Sofiia Bielinska,yes,12975.77,NO,MISS
2026-09-12T17:34:02+00:00,TENNIS,KXWTAMATCH-26SEP12BIEHIB-BIE,Sofiia Bielinska,no,15111.25,NO,HIT
2026-09-12T17:34:02+00:00,TENNIS,KXWTAMATCH-26SEP12PANSCO-PAN,Alexandra Panova,no,14357.06,NO,HIT
2026-09-12T17:34:02+00:00,TENNIS,KXWTAMATCH-26SEP12PANSCO-PAN,Alexandra Panova,no,5039.98,NO,HIT
2026-09-12T17:34:02+00:00,TENNIS,KXWTAMATCH-26SEP12PANSCO-PAN,Alexandra Panova,yes,3064.09,NO,MISS
